model_key,sample_size,folds_improved,mean_delta_nRMSE,sd_delta_nRMSE
adaboost_regressor,500,0,0.024049138605915666,0.019246789865726352
adaboost_regressor,1450,0,0.052374100674751456,0.06285328210227543
adaboost_regressor,2400,0,0.062096234607444754,0.07677392494877254
adaboost_regressor,3350,0,0.060638643130395395,0.06666933938176887
adaboost_regressor,4300,0,0.05250063094053281,0.05173100352993366
adaboost_regressor,5250,0,0.05868827486280779,0.050987998944442225
adaboost_regressor,6200,0,0.06132057620146385,0.04718095732246201
adaboost_regressor,7150,0,0.0572808159822308,0.04182863277018372
adaboost_regressor,8100,0,0.06264464414297141,0.03655578751533091
adaboost_regressor,9050,0,0.06090689489223398,0.034393507283016614
adaboost_regressor,10000,0,0.05614989719967933,0.026889004674717963
ann_deep_regressor,500,4,0.07843149997375767,0.23702828152954297
ann_deep_regressor,1450,5,-0.010339508129481834,0.0026410939733831247
ann_deep_regressor,2400,5,-0.00510299469996559,0.0014690934398384498
ann_deep_regressor,3350,5,-0.003955829137349665,0.0017838114521115398
ann_deep_regressor,4300,5,-0.0025336163258180442,0.0016813360878069053
ann_deep_regressor,5250,3,0.013807241074936655,0.028684278589205702
ann_deep_regressor,6200,5,-0.0013853224885656823,0.0007380236852846902
ann_deep_regressor,7150,4,0.009143644609067775,0.024937277359460504
ann_deep_regressor,8100,4,-0.001142324138937567,0.0010381477629478064
ann_deep_regressor,9050,5,-0.0016150453954029253,0.00040081787868388854
ann_deep_regressor,10000,5,-0.00157221000310121,0.0006234220205576207
catboost_regressor,500,2,0.02526229520454968,0.05826592674794515
catboost_regressor,1450,1,0.03498937649999208,0.07828630630992396
catboost_regressor,2400,2,0.025583691925356457,0.05818136661668937
catboost_regressor,3350,2,0.01986252553657466,0.04468986822379103
catboost_regressor,4300,2,0.008716595847323838,0.018797211770579237
catboost_regressor,5250,4,0.010448440793877833,0.025103382512960203
catboost_regressor,6200,4,0.008836755213264713,0.021938149819238376
catboost_regressor,7150,4,0.00847298509740999,0.021944507255280275
catboost_regressor,8100,5,-0.0011277451048019305,0.0006046078850994597
catboost_regressor,9050,4,0.005893079445227678,0.016875114657358692
catboost_regressor,10000,5,-0.0012793433604582848,0.0005183040506472409
extra_trees_regressor,500,2,0.0943704677138826,0.18389707905619462
extra_trees_regressor,1450,1,0.03776649367658471,0.0828051279646974
extra_trees_regressor,2400,2,0.03690294941922643,0.08820415242320472
extra_trees_regressor,3350,0,0.06654029126929246,0.08178149449168204
extra_trees_regressor,4300,0,0.05491724142581935,0.06041628470154207
extra_trees_regressor,5250,1,0.052799549974689455,0.06934717530576313
extra_trees_regressor,6200,0,0.0631533063856458,0.053500086949009415
extra_trees_regressor,7150,1,0.05437151574607848,0.04939704408490917
extra_trees_regressor,8100,1,0.04826072272710893,0.04571640187859342
extra_trees_regressor,9050,1,0.04488940212397556,0.03483650978419269
extra_trees_regressor,10000,0,0.044469715632974374,0.02503154000663794
knn_regressor,500,3,0.02326794125265901,0.06369432963736822
knn_regressor,1450,2,0.01253241494210502,0.048407484005544406
knn_regressor,2400,3,0.01674370457564651,0.059729224044354975
knn_regressor,3350,3,0.01665485210128088,0.05152734702283859
knn_regressor,4300,4,0.006809647653751361,0.032723840721244346
knn_regressor,5250,3,0.01359830156803692,0.03254030814445557
knn_regressor,6200,3,0.01543843458694658,0.03800398064694282
knn_regressor,7150,3,0.011380129986517783,0.03324752759898521
knn_regressor,8100,2,0.016822915762514667,0.02928366424575937
knn_regressor,9050,2,0.01568204298219007,0.027571967755406768
knn_regressor,10000,1,0.01420585646845487,0.021528298892509647
lightgbm_regressor,500,0,0.0061162703227615415,0.004283990120879614
lightgbm_regressor,1450,0,0.01714995881280209,0.03133467016013088
lightgbm_regressor,2400,1,0.001044017171333067,0.0017026478174578788
lightgbm_regressor,3350,1,0.0007293600494552744,0.0009130071519406839
lightgbm_regressor,4300,0,0.0006665227609126024,0.0007535378959731815
lightgbm_regressor,5250,1,0.0010871406981558974,0.0012472150052017315
lightgbm_regressor,6200,1,0.0007410809072238677,0.0012011065597814711
lightgbm_regressor,7150,2,0.00029994244214378576,0.0013484916877841663
lightgbm_regressor,8100,2,0.00021553095868356853,0.0008566905711840864
lightgbm_regressor,9050,1,0.0004924192195336407,0.0005549722977821221
lightgbm_regressor,10000,1,0.0007439513318308,0.0009776203161740121
multitask_elastic_net_regressor,500,5,-0.02369095402148491,0.007239301594120577
multitask_elastic_net_regressor,1450,5,-0.021387434369485692,0.002798429663470296
multitask_elastic_net_regressor,2400,5,-0.02091214516795047,0.0034596783181976764
multitask_elastic_net_regressor,3350,5,-0.020472021751700563,0.002195463965920749
multitask_elastic_net_regressor,4300,5,-0.020579595651789663,0.0015504765445778796
multitask_elastic_net_regressor,5250,5,-0.020400684232655154,0.0012048110147531608
multitask_elastic_net_regressor,6200,5,-0.020256313733526453,0.0009616949091882036
multitask_elastic_net_regressor,7150,5,-0.020276742320086007,0.001127742003153565
multitask_elastic_net_regressor,8100,5,-0.020179704736987582,0.0010842131248827176
multitask_elastic_net_regressor,9050,5,-0.02009213266107295,0.0013831032862786407
multitask_elastic_net_regressor,10000,5,-0.020015874507660913,0.0014456899201372817
multitask_lasso_regressor,500,5,-0.02368881028792793,0.007258314030579777
multitask_lasso_regressor,1450,5,-0.021381003988312875,0.002806215963007021
multitask_lasso_regressor,2400,5,-0.02090430697363562,0.003475089790263933
multitask_lasso_regressor,3350,5,-0.02046472341842779,0.0022140808297014796
multitask_lasso_regressor,4300,5,-0.02057158180846865,0.0015685295919648594
multitask_lasso_regressor,5250,5,-0.020392798719378314,0.001207157570729064
multitask_lasso_regressor,6200,5,-0.020247680679638624,0.0009564438419872858
multitask_lasso_regressor,7150,5,-0.02026790462957797,0.0011107664406496765
multitask_lasso_regressor,8100,5,-0.020171152071050157,0.0010649926376676804
multitask_lasso_regressor,9050,5,-0.020083674907300387,0.0013665530837112334
multitask_lasso_regressor,10000,5,-0.020007311415712638,0.0014249951459680153
pls_regressor,500,4,-0.041458835376658086,0.03830972577722206
pls_regressor,1450,3,-0.001844834268301132,0.07545701607699726
pls_regressor,2400,3,0.0031189147235004986,0.06920355120477215
pls_regressor,3350,2,0.0609718065959302,0.11997279992045935
pls_regressor,4300,2,0.056874436264811125,0.07518452509141225
pls_regressor,5250,2,0.026407984300593434,0.04704890054675992
pls_regressor,6200,1,0.039384169235966084,0.06843654668814372
pls_regressor,7150,2,0.03488699466064069,0.062990973041214
pls_regressor,8100,1,0.05477708045841674,0.03468570859920473
pls_regressor,9050,0,0.030357838429505523,0.02242147539474393
pls_regressor,10000,2,0.02392104291376105,0.027500309151965784
random_forest_regressor,500,0,0.16100535664556356,0.17296510491283335
random_forest_regressor,1450,0,0.11514718021480685,0.06568417497883138
random_forest_regressor,2400,0,0.10769432182947511,0.08148931557471106
random_forest_regressor,3350,0,0.12448388410694597,0.05875473179294576
random_forest_regressor,4300,0,0.10125474255702245,0.04167773984431845
random_forest_regressor,5250,0,0.09992266445768397,0.05770664504674294
random_forest_regressor,6200,0,0.11568972455552332,0.03387034710601984
random_forest_regressor,7150,0,0.11194836019850138,0.04364802851410335
random_forest_regressor,8100,0,0.10905767201020962,0.03866765825446901
random_forest_regressor,9050,0,0.10170148366924776,0.03003566048474137
random_forest_regressor,10000,0,0.09474527891055033,0.022399709581081655
svr_regressor,500,5,-0.012885972999693763,0.002281356109087425
svr_regressor,1450,3,0.012042783674839252,0.04500033242995994
svr_regressor,2400,4,0.010828545653613086,0.041176990296360946
svr_regressor,3350,3,0.026069288412690683,0.04644859208577538
svr_regressor,4300,4,0.006464756140749606,0.03211756212834292
svr_regressor,5250,5,-0.00971350655205272,0.0013980022930793203
svr_regressor,6200,5,-0.00786980369961936,0.0032105423314749398
svr_regressor,7150,5,-0.009160265041219019,0.0011959986478137176
svr_regressor,8100,5,-0.008874923757075437,0.0010029034525877566
svr_regressor,9050,5,-0.0069414260179457956,0.0031415696014752453
svr_regressor,10000,5,-0.008189488589453443,0.00074934288561322
xgboost_regressor,500,0,0.0056324504711847915,0.003316727957962506
xgboost_regressor,1450,0,0.029060968211884187,0.05813239476938745
xgboost_regressor,2400,1,0.01775339717526664,0.03465196365747339
xgboost_regressor,3350,0,0.017193689195078087,0.03491058246782651
xgboost_regressor,4300,0,0.0016412644195632597,0.0010000933550849066
xgboost_regressor,5250,1,0.004402663202500467,0.007110824253577747
xgboost_regressor,6200,1,0.0008382715072893343,0.00128669787123268
xgboost_regressor,7150,1,0.0006701522278950822,0.0011353497471222457
xgboost_regressor,8100,1,0.0006469188374914947,0.0008186715508438101
xgboost_regressor,9050,2,0.0006067943245071317,0.0009529178447409182
xgboost_regressor,10000,1,0.0005735306775576932,0.0006638774178865548
